0 0 1875.8
0 2 -330.732
0 13 -1478.8
0 14 -896.93
0 16 875.0
0 17 -3670.3
0 20 -331.44
0 21 3641.7
0 24 -93.6
1 1 -1747.22
1 2 -404.34277
1 4 -1705.0
1 7 -621.3
1 11 -565.937
1 13 -1820.466
1 15 -3254.2
2 2 3621.22
2 6 736.2
2 10 -3077.93
2 11 737.06946
2 13 -2479.4867
2 17 1250.1
2 20 252.48
2 22 -2263.709
3 8 1172.702
3 11 655.0
3 12 -3744.846
4 2 1889.9
4 3 -2344.5
4 4 -814.0
4 5 3620.08
4 12 -2264.5997
4 16 2727.374
4 20 1750.3
4 21 2050.4028
4 22 -4249.697
4 23 -198.1565
5 2 -399.627
5 3 -724.0
5 8 -945.698
5 13 2054.9
5 16 252.952
5 22 -1427.13
6 0 -3061.621
6 2 79.7
6 11 -2582.724
6 12 -306.54866
6 13 -2227.757
6 22 -1030.21
6 24 -1060.783
7 0 3822.7614
7 3 2300.5
7 4 1145.8474
7 7 -4249.13
7 12 647.62487
7 14 2747.3389
7 19 1365.1104
7 21 3227.0
7 22 797.0
7 23 2293.0
8 7 -406.5
8 8 481.25
8 13 2465.551
8 14 2869.78
8 18 796.926
8 19 -380.37837
8 21 692.274
9 0 -660.7
9 2 175.2494
9 3 704.4
9 7 1703.73
9 8 -701.319
9 14 -3422.9041
9 18 1687.29
9 24 -1604.01381
10 1 -901.01
10 2 -1500.27
10 8 607.28234
11 3 -2704.57821
11 10 -1588.99317
11 18 45.3887
11 20 4243.6605
11 21 1005.1
12 5 1719.7
12 10 -2129.98333
12 15 1391.0
12 16 -2227.92732
12 24 -307.1594
13 0 2005.0
13 2 1340.35
13 7 371.34
13 10 -720.55414
13 20 1802.6
13 24 405.0
14 7 -221.5469
14 10 -4456.468
14 14 -1295.155
14 17 727.16
14 18 280.0
15 1 390.94
15 2 -1462.0
15 5 100.4
15 9 -3381.90313
15 15 -3449.0
15 17 2382.61921
15 18 364.6685
15 21 -927.3
15 23 -1660.2633
15 24 -1597.53
16 2 -2538.5326
16 3 -1229.322
16 4 1929.4679
16 8 -1680.717
16 17 -524.0
16 20 -2623.3
17 2 2181.96
17 6 -568.0
17 10 1326.6
17 13 -1596.196
17 17 784.0876
17 19 1653.871
17 24 -4760.0
18 0 2330.79
18 7 -2935.9046
18 8 3699.498
18 13 -1777.10368
18 16 -671.0
18 17 2311.465
18 19 2514.0
18 20 -4101.44
18 24 1167.0
19 5 -890.3811
19 11 1287.0
19 19 -4054.6247
19 22 -1532.038
19 23 1183.276
20 4 2092.9543
20 5 -1595.2
20 7 -117.0
20 15 2475.0
20 17 -2188.38753
20 18 -1158.77
20 21 1207.86605
20 22 1839.34
20 24 -1913.24
21 0 1446.377
21 9 -1419.797
22 0 -2783.64537
22 2 -882.2
22 5 -1792.61
22 10 -1301.03559
22 11 -2138.5907
22 12 1940.26822
22 14 -1012.0
22 16 2166.9815
22 18 1856.378
22 21 808.54
22 23 -4305.274
23 1 -305.0
23 4 3966.7
23 5 1158.34033
23 11 1382.0
23 14 470.54801
23 15 1675.9
23 16 1882.071
23 17 796.2525
24 4 -2253.0
24 5 908.2896
24 7 -2434.019
24 11 2336.095
24 12 2526.32983
24 13 1009.0231
24 17 -521.86916
24 19 -540.0
24 21 -2507.48
24 22 -201.806
24 23 -2769.143
24 24 -324.9
